OPPORTUNITY_ID,ACCOUNT_NAME,LEAD_SOURCE_CAMPAIGN,STAGE,AMOUNT_USD,CREATED_DATE,CLOSE_DATE,BUSINESS_GROUP,REGION
OPP-405cacec,"Valencia, Smith and Le",CMP-100,Closed Won,188291.04,2024-02-25,2024-03-03,SIBG,NA
OPP-c0398710,Mack-Peterson,CMP-100,Closed Won,202906.05,2024-02-28,2024-03-06,SIBG,NA
OPP-74273ca3,Mckay Ltd,CMP-100,Closed Won,221089.1,2024-02-28,2024-03-13,SIBG,NA
OPP-c30ff46e,Romero Inc,CMP-100,Closed Lost,194882.41,2024-03-01,2024-03-12,SIBG,NA
OPP-d777a477,"Romero, Gonzalez and Brooks",CMP-100,Closed Won,204618.39,2024-03-02,2024-03-12,SIBG,NA
OPP-c754108f,"Sellers, George and Burns",CMP-100,Closed Won,180542.14,2024-02-29,2024-03-12,SIBG,NA
OPP-e0f3eab0,Allen-Allen,CMP-100,Negotiation,199268.16,2024-02-26,,SIBG,NA
OPP-15ed6269,"Tucker, Jones and Hodges",CMP-100,Closed Lost,179781.18,2024-03-01,2024-03-12,SIBG,NA
OPP-a8e56e0c,Arroyo-Martin,CMP-100,Closed Won,210501.25,2024-03-02,2024-03-11,SIBG,NA
OPP-6c52c49f,Hickman Ltd,CMP-100,Closed Won,254895.58,2024-03-02,2024-03-10,SIBG,NA
OPP-4fcca39a,Carney-Santos,CMP-100,Closed Won,240073.76,2024-03-03,2024-03-10,SIBG,NA
OPP-7394988f,Wright Inc,CMP-100,Closed Won,214328.83,2024-02-29,2024-03-14,SIBG,NA
OPP-8dcdcd03,Chapman Inc,CMP-100,Closed Won,175747.89,2024-02-27,2024-03-10,SIBG,NA
OPP-0f1259e0,Jones Inc,CMP-100,Closed Won,311673.18,2024-03-04,2024-03-13,SIBG,NA
OPP-839fbc50,Ramirez Group,CMP-100,Closed Lost,257583.38,2024-02-28,2024-03-10,SIBG,NA
OPP-b92da22b,"Johnston, Sanchez and Kennedy",CMP-100,Closed Won,215268.11,2024-03-02,2024-03-15,SIBG,NA
OPP-18d0752b,"Jordan, Henderson and Owens",CMP-100,Closed Lost,225625.16,2024-03-01,2024-03-11,SIBG,NA
OPP-a748dbcf,"Garcia, Powell and Morgan",CMP-100,Closed Won,224968.94,2024-03-01,2024-03-13,SIBG,NA
OPP-310c0c00,Herrera and Sons,CMP-100,Closed Won,235192.53,2024-03-05,2024-03-16,SIBG,NA
OPP-766ecb15,Baxter Inc,CMP-100,Closed Won,212368.61,2024-03-07,2024-03-16,SIBG,NA
OPP-db20a56e,"Garcia, Pearson and Fernandez",CMP-100,Closed Won,175261.07,2024-03-03,2024-03-17,SIBG,NA
OPP-ed2662e9,Martin Group,CMP-100,Closed Won,224208.24,2024-03-07,2024-03-18,SIBG,NA
OPP-66aa9385,Martin Inc,CMP-100,Closed Won,251268.53,2024-03-07,2024-03-19,SIBG,NA
OPP-ed3049cf,Mitchell-Horton,CMP-100,Closed Won,182240.18,2024-03-08,2024-03-16,SIBG,NA
OPP-8e46d534,"Higgins, Moore and Phillips",CMP-100,Closed Won,220414.7,2024-03-05,2024-03-13,SIBG,NA
OPP-bc594585,"Brown, Edwards and Williams",CMP-100,Closed Won,230786.65,2024-03-04,2024-03-14,SIBG,NA
OPP-da4bd9ca,"Moore, Yu and Miller",CMP-100,Closed Won,217131.55,2024-03-09,2024-03-22,SIBG,NA
OPP-1165e210,"Hensley, Powell and David",CMP-100,Closed Won,185079.11,2024-03-10,2024-03-22,SIBG,NA
OPP-98326856,Harvey Group,CMP-100,Closed Won,185859.25,2024-03-04,2024-03-17,SIBG,NA
OPP-85d51695,Donovan-Harris,CMP-100,Closed Won,170725.66,2024-03-04,2024-03-15,SIBG,NA
OPP-43ff5011,Anderson-Brewer,CMP-100,Closed Lost,242500.29,2024-03-09,2024-03-17,SIBG,NA
OPP-c07a30f2,Smith PLC,CMP-100,Closed Won,195743.24,2024-03-08,2024-03-20,SIBG,NA
OPP-19985f15,Medina PLC,CMP-100,Closed Won,202717.6,2024-03-10,2024-03-21,SIBG,NA
OPP-5958a499,Suarez LLC,CMP-100,Closed Lost,209427.78,2024-03-09,2024-03-22,SIBG,NA
OPP-d5704f32,"Warner, Carr and Archer",CMP-100,Closed Won,216214.6,2024-03-12,2024-03-24,SIBG,NA
OPP-aaf91531,"Evans, Alvarado and Mcmillan",CMP-100,Closed Won,228544.45,2024-03-06,2024-03-16,SIBG,NA
OPP-e3c43657,Newton and Sons,CMP-100,Closed Won,176994.28,2024-03-09,2024-03-16,SIBG,NA
OPP-35ebd32d,"Cooper, Watts and Farrell",CMP-100,Closed Won,211132.47,2024-03-10,2024-03-22,SIBG,NA
OPP-e7c421c7,Davis Group,CMP-100,Closed Won,278759.03,2024-03-11,2024-03-21,SIBG,NA
OPP-00e85ece,Wise-Walsh,CMP-100,Closed Won,289917.35,2024-03-12,2024-03-20,SIBG,NA
OPP-711c21c9,"Thornton, Hoffman and Rodriguez",CMP-100,Closed Won,208754.5,2024-03-13,2024-03-27,SIBG,NA
OPP-e767dcea,Gardner LLC,CMP-100,Closed Lost,215005.75,2024-03-13,2024-03-24,SIBG,NA
OPP-6e068097,Williams LLC,CMP-100,Negotiation,207887.4,2024-03-13,,SIBG,NA
OPP-f8e1daa7,Nolan and Sons,CMP-100,Closed Won,219560.23,2024-03-09,2024-03-18,SIBG,NA
OPP-1a50aec3,Deleon-Henson,CMP-100,Closed Lost,209357.44,2024-03-09,2024-03-16,SIBG,NA
OPP-bfddc3d9,Frost and Sons,CMP-100,Negotiation,227517.7,2024-03-11,,SIBG,NA
OPP-ccc56569,Keith Inc,CMP-100,Closed Lost,157574.77,2024-03-10,2024-03-18,SIBG,NA
OPP-550a1b46,Pham-Shields,CMP-100,Closed Won,190687.94,2024-03-11,2024-03-20,SIBG,NA
OPP-28c13091,"Rodriguez, Brennan and Garrison",CMP-100,Closed Lost,199284.69,2024-03-13,2024-03-27,SIBG,NA
OPP-eb1fa9f2,Bailey-Hoover,CMP-100,Negotiation,215800.3,2024-03-12,,SIBG,NA
OPP-060edf5b,"Lee, Murphy and Lin",CMP-100,Closed Won,202745.01,2024-03-15,2024-03-24,SIBG,NA
OPP-59e4b671,"Hicks, Frazier and Anthony",CMP-100,Closed Won,215980.98,2024-03-14,2024-03-22,SIBG,NA
OPP-1d870966,White-Estes,CMP-100,Closed Won,181290.31,2024-03-17,2024-03-31,SIBG,NA
OPP-98b8e4cc,Reed-Hartman,CMP-100,Closed Won,209284.31,2024-03-15,2024-03-28,SIBG,NA
OPP-82ec9f2d,Cruz PLC,CMP-100,Closed Won,224604.1,2024-03-14,2024-03-21,SIBG,NA
OPP-b572f3d0,Smith-Frost,CMP-100,Closed Won,277495.93,2024-03-17,2024-03-29,SIBG,NA
OPP-f0b5156b,"Mclaughlin, Gonzalez and Reynolds",CMP-100,Closed Won,226241.55,2024-03-13,2024-03-27,SIBG,NA
OPP-5487fd4f,"Edwards, Charles and Cortez",CMP-100,Closed Won,208604.09,2024-03-16,2024-03-26,SIBG,NA
OPP-aab97e49,Nguyen-Terry,CMP-100,Closed Lost,173009.18,2024-03-19,2024-03-31,SIBG,NA
OPP-6ba25efe,"Bentley, Byrd and Orr",CMP-100,Closed Lost,169935.9,2024-03-13,2024-03-25,SIBG,NA
OPP-67f48ad5,"Bass, Torres and Clark",CMP-100,Closed Lost,178943.18,2024-03-18,2024-03-30,SIBG,NA
OPP-a79ac9aa,Marshall-Ramos,CMP-100,Closed Won,177555.68,2024-03-14,2024-03-27,SIBG,NA
OPP-cb323e35,"Jackson, Miller and Robertson",CMP-100,Closed Won,223363.59,2024-03-16,2024-03-26,SIBG,NA
OPP-17e8392a,Chambers and Sons,CMP-100,Closed Won,214163.73,2024-03-14,2024-03-28,SIBG,NA
OPP-0640be0f,Sanchez Group,CMP-100,Closed Won,160083.89,2024-03-15,2024-03-25,SIBG,NA
OPP-12a4def0,Perry-Soto,CMP-100,Negotiation,179577.2,2024-03-20,,SIBG,NA
OPP-624c69b6,Ross-Hernandez,CMP-100,Closed Lost,197265.2,2024-03-15,2024-03-27,SIBG,NA
OPP-c03f3538,Osborne and Sons,CMP-100,Closed Won,177997.65,2024-03-16,2024-03-25,SIBG,NA
OPP-b227462c,"Marshall, Grant and Lowery",CMP-100,Closed Won,247591.56,2024-03-22,2024-04-01,SIBG,NA
OPP-cd29a36f,Contreras-Travis,CMP-100,Closed Lost,209110.07,2024-03-16,2024-03-26,SIBG,NA
OPP-c1581092,Salazar-Ball,CMP-100,Closed Won,223760.68,2024-03-20,2024-03-30,SIBG,NA
OPP-e827a1b9,"Griffin, Moore and Hensley",CMP-100,Closed Lost,228316.76,2024-03-22,2024-04-01,SIBG,NA
OPP-3f4b1a70,"Ramirez, Strickland and Washington",CMP-100,Negotiation,164793.24,2024-03-19,,SIBG,NA
OPP-13d5f2f7,"Mitchell, Nelson and Flores",CMP-100,Closed Lost,164690.39,2024-03-23,2024-03-30,SIBG,NA
OPP-269cd696,Reyes and Sons,CMP-100,Closed Lost,162885.75,2024-03-19,2024-03-28,SIBG,NA
OPP-6a34c854,Rivera-Owens,CMP-100,Closed Won,211301.45,2024-03-19,2024-03-30,SIBG,NA
OPP-6b8e869f,Stein-Silva,CMP-100,Closed Won,167641.21,2024-03-24,2024-04-02,SIBG,NA
OPP-e172b725,"James, Smith and Bell",CMP-100,Closed Won,234871.26,2024-03-18,2024-03-25,SIBG,NA
OPP-e4429ebb,Medina-Navarro,CMP-100,Closed Won,168411.8,2024-03-20,2024-03-27,SIBG,NA
OPP-3875394c,Robinson-Graham,CMP-100,Closed Lost,166156.64,2024-03-21,2024-03-31,SIBG,NA
OPP-ab3b4d37,"Yates, Ramsey and Pittman",CMP-100,Closed Won,216432.74,2024-03-23,2024-04-04,SIBG,NA
OPP-9f4c3b79,"Johnson, Long and Elliott",CMP-100,Closed Lost,241520.73,2024-03-20,2024-03-29,SIBG,NA
OPP-6db99102,Camacho and Sons,CMP-100,Closed Won,250248.04,2024-03-22,2024-03-29,SIBG,NA
OPP-53cd6268,Gibson LLC,CMP-100,Closed Won,230631.99,2024-03-21,2024-04-03,SIBG,NA
OPP-473bd358,King-Miller,CMP-100,Closed Won,169240.21,2024-03-25,2024-04-02,SIBG,NA
OPP-0d557b61,Walker-Jones,CMP-100,Closed Lost,249859.68,2024-03-26,2024-04-03,SIBG,NA
OPP-c1156d6d,Herring and Sons,CMP-100,Closed Won,211397.47,2024-03-24,2024-04-07,SIBG,NA
OPP-2702878b,Martinez Ltd,CMP-100,Negotiation,212906.52,2024-03-28,,SIBG,NA
OPP-37cc863b,Lyons-Wang,CMP-100,Closed Won,176362.2,2024-03-26,2024-04-03,SIBG,NA
OPP-f6b751f7,"Higgins, Strickland and Martin",CMP-100,Closed Won,197855.58,2024-03-25,2024-04-04,SIBG,NA
OPP-0692dc63,Johnston-Odonnell,CMP-100,Closed Won,225830.15,2024-03-26,2024-04-02,SIBG,NA
OPP-b70b3420,Jones Ltd,CMP-100,Closed Won,206871.48,2024-03-28,2024-04-08,SIBG,NA
OPP-1a16342c,"Barton, Jefferson and Burke",CMP-100,Closed Lost,226202.1,2024-03-26,2024-04-02,SIBG,NA
OPP-90e0f4a0,Reed Group,CMP-100,Closed Won,220324.12,2024-03-23,2024-04-06,SIBG,NA
OPP-8186a576,"Peterson, Atkinson and Short",CMP-100,Closed Won,207658.71,2024-03-29,2024-04-11,SIBG,NA
OPP-5cb85aed,"Snow, Stevens and Hernandez",CMP-100,Closed Won,207205.12,2024-03-27,2024-04-04,SIBG,NA
OPP-f7294951,"Nelson, Morton and Medina",CMP-100,Closed Won,183663.21,2024-03-27,2024-04-10,SIBG,NA
OPP-d36357b6,"Vargas, Morris and Sanchez",CMP-100,Closed Lost,187903.98,2024-03-24,2024-04-01,SIBG,NA
OPP-e1b294de,Sanchez-Marshall,CMP-101,Closed Won,215607.9,2021-04-24,2021-05-03,SIBG,LATAM
OPP-561e16d1,Snyder LLC,CMP-101,Closed Won,224773.18,2021-04-22,2021-05-01,SIBG,LATAM
OPP-5ad5cf06,Peterson-Beard,CMP-101,Closed Won,191515.62,2021-04-24,2021-05-06,SIBG,LATAM
OPP-8e485223,Black and Sons,CMP-101,Closed Won,228899.4,2021-04-25,2021-05-06,SIBG,LATAM
OPP-680bac63,Peters-Allen,CMP-101,Closed Won,183248.73,2021-04-25,2021-05-08,SIBG,LATAM
OPP-7da67785,Mcguire-Davis,CMP-101,Closed Won,189335.19,2021-04-23,2021-05-01,SIBG,LATAM
OPP-3e493f43,Beck-Wood,CMP-101,Closed Lost,238448.67,2021-04-29,2021-05-09,SIBG,LATAM
OPP-6cedd15d,"Pierce, Bell and Chavez",CMP-101,Closed Won,240295.56,2021-04-26,2021-05-10,SIBG,LATAM
OPP-1ee34dc4,"Lee, Wilson and Herrera",CMP-101,Closed Won,199689.19,2021-04-24,2021-05-07,SIBG,LATAM
OPP-3108d448,Rodgers LLC,CMP-101,Closed Lost,270108.07,2021-04-25,2021-05-09,SIBG,LATAM
OPP-c29cfc0c,"Carlson, Hooper and Wall",CMP-101,Closed Won,235297.21,2021-04-27,2021-05-10,SIBG,LATAM
OPP-2defe193,Smith-Ferguson,CMP-101,Closed Won,196838.19,2021-04-29,2021-05-07,SIBG,LATAM
OPP-0df56ac6,"Carter, Raymond and Little",CMP-101,Closed Won,188430.39,2021-04-26,2021-05-09,SIBG,LATAM
OPP-df6a8f93,Andrews Group,CMP-101,Closed Won,212183.11,2021-04-26,2021-05-07,SIBG,LATAM
OPP-2f32751e,King Group,CMP-101,Closed Won,276584.01,2021-04-27,2021-05-06,SIBG,LATAM
OPP-6694c343,Jones-Soto,CMP-101,Closed Won,247929.57,2021-04-30,2021-05-14,SIBG,LATAM
OPP-cfa701cd,"Avery, Miller and Wright",CMP-101,Closed Lost,218868.37,2021-04-25,2021-05-03,SIBG,LATAM
OPP-9b37a22b,"Gibbs, Perez and Mills",CMP-101,Closed Won,216977.19,2021-05-01,2021-05-09,SIBG,LATAM
OPP-4c1f55ab,"Branch, Torres and Oliver",CMP-101,Closed Won,206555.57,2021-04-25,2021-05-08,SIBG,LATAM
OPP-19675f06,Garrett LLC,CMP-101,Closed Lost,213722.83,2021-04-26,2021-05-08,SIBG,LATAM
OPP-3d67cde9,Arnold and Sons,CMP-101,Closed Won,206649.45,2021-05-02,2021-05-11,SIBG,LATAM
OPP-b07aa066,"Harrison, Johnson and Roberts",CMP-101,Closed Lost,193182.43,2021-04-30,2021-05-07,SIBG,LATAM
OPP-743b65a2,Mcdaniel LLC,CMP-101,Closed Won,207927.47,2021-04-30,2021-05-12,SIBG,LATAM
OPP-96fc734d,"Lara, Gonzalez and Wilson",CMP-101,Closed Won,193213.07,2021-05-02,2021-05-10,SIBG,LATAM
OPP-e88da719,Serrano-Jones,CMP-101,Closed Won,206305.99,2021-04-30,2021-05-12,SIBG,LATAM
OPP-9854ce4e,"Holloway, Morse and Gonzales",CMP-101,Closed Won,235764.57,2021-05-03,2021-05-16,SIBG,LATAM
OPP-b321bf21,Bender-Mason,CMP-101,Closed Lost,245916.12,2021-05-03,2021-05-10,SIBG,LATAM
OPP-9918ee46,Preston Ltd,CMP-101,Closed Won,257893.37,2021-04-30,2021-05-11,SIBG,LATAM
OPP-069f14f1,Perez Ltd,CMP-101,Closed Won,175830.3,2021-04-30,2021-05-08,SIBG,LATAM
OPP-964db03f,Key Ltd,CMP-101,Negotiation,246495.17,2021-05-02,,SIBG,LATAM
OPP-0a4c9f7f,Ruiz Ltd,CMP-101,Closed Lost,221836.7,2021-04-29,2021-05-13,SIBG,LATAM
OPP-2e76128b,"Graham, Olsen and Costa",CMP-101,Closed Won,251953.3,2021-04-29,2021-05-07,SIBG,LATAM
OPP-5553b2fe,Santiago-Hodge,CMP-101,Closed Won,215560.65,2021-05-01,2021-05-13,SIBG,LATAM
OPP-7ed70ed7,Bates-Morales,CMP-101,Closed Won,181182.2,2021-04-29,2021-05-10,SIBG,LATAM
OPP-746f7891,Edwards LLC,CMP-101,Closed Lost,195994.01,2021-05-03,2021-05-13,SIBG,LATAM
OPP-6778043b,"Bryan, Smith and Booth",CMP-101,Closed Won,172312.0,2021-05-05,2021-05-18,SIBG,LATAM
OPP-300568d2,"Cox, Avila and Garrett",CMP-101,Closed Won,203029.29,2021-05-05,2021-05-12,SIBG,LATAM
OPP-445dcc38,"Anderson, Roberts and Gilmore",CMP-101,Closed Won,179971.68,2021-05-03,2021-05-14,SIBG,LATAM
OPP-f920264c,"Lynch, Allen and Moore",CMP-101,Closed Won,286931.65,2021-04-30,2021-05-09,SIBG,LATAM
OPP-687213f9,Walker Inc,CMP-101,Closed Lost,213588.28,2021-05-02,2021-05-13,SIBG,LATAM
OPP-a5d04d53,Jimenez Ltd,CMP-101,Closed Won,223579.52,2021-05-02,2021-05-14,SIBG,LATAM
OPP-45ff2c83,Davenport-Baird,CMP-101,Closed Won,221928.11,2021-05-01,2021-05-10,SIBG,LATAM
OPP-25074181,Lee-Greene,CMP-101,Closed Won,240498.28,2021-05-07,2021-05-16,SIBG,LATAM
OPP-dd30de89,Hill Group,CMP-101,Closed Lost,218162.54,2021-05-05,2021-05-18,SIBG,LATAM
OPP-81fb18b3,Hoover-Campbell,CMP-101,Closed Lost,251834.87,2021-05-01,2021-05-10,SIBG,LATAM
OPP-9475dbc9,"Burns, Hernandez and Ryan",CMP-101,Closed Won,201884.75,2021-05-06,2021-05-13,SIBG,LATAM
OPP-c34b9fbb,"Bennett, Cantu and Kane",CMP-101,Closed Won,208783.24,2021-05-02,2021-05-12,SIBG,LATAM
OPP-9261549d,Hall-Rowe,CMP-101,Closed Won,216691.76,2021-05-05,2021-05-18,SIBG,LATAM
OPP-7914f8a8,"Mcintyre, James and Mcneil",CMP-101,Closed Won,219159.47,2021-05-05,2021-05-17,SIBG,LATAM
OPP-fb16e5db,Simpson Inc,CMP-101,Closed Lost,226389.23,2021-05-03,2021-05-15,SIBG,LATAM
OPP-9716108e,Kane-Sawyer,CMP-101,Closed Won,223140.05,2021-05-04,2021-05-16,SIBG,LATAM
OPP-e912b4bf,Smith-Thomas,CMP-101,Closed Won,207817.13,2021-05-09,2021-05-17,SIBG,LATAM
OPP-2784378f,Harrison LLC,CMP-101,Closed Won,235423.73,2021-05-03,2021-05-12,SIBG,LATAM
OPP-65c17795,"Miller, Murphy and Craig",CMP-101,Closed Won,205145.35,2021-05-04,2021-05-11,SIBG,LATAM
OPP-5110b492,"Higgins, Malone and Brennan",CMP-101,Closed Won,211188.24,2021-05-08,2021-05-16,SIBG,LATAM
OPP-3c19e71d,"Cohen, Mitchell and Perez",CMP-101,Closed Lost,227801.99,2021-05-06,2021-05-20,SIBG,LATAM
OPP-1933918c,"Padilla, Garcia and Jackson",CMP-101,Closed Won,246674.33,2021-05-09,2021-05-22,SIBG,LATAM
OPP-0bc61066,Flynn-Carter,CMP-101,Negotiation,243223.8,2021-05-07,,SIBG,LATAM
OPP-3e83b91f,"Jenkins, Maldonado and White",CMP-101,Closed Won,192448.37,2021-05-08,2021-05-19,SIBG,LATAM
OPP-deef580f,Harvey-Allen,CMP-101,Closed Won,252973.34,2021-05-06,2021-05-14,SIBG,LATAM
OPP-3b70b3a1,Little-Stevens,CMP-101,Closed Won,253667.41,2021-05-07,2021-05-20,SIBG,LATAM
OPP-cdfc6ee0,Santana-Byrd,CMP-101,Closed Won,207228.85,2021-05-06,2021-05-17,SIBG,LATAM
OPP-f1faf665,Huerta-Evans,CMP-101,Closed Lost,211852.08,2021-05-11,2021-05-25,SIBG,LATAM
OPP-40066ff2,Bruce-Gonzalez,CMP-101,Closed Won,236430.46,2021-05-10,2021-05-21,SIBG,LATAM
OPP-1b4da0fe,James LLC,CMP-101,Closed Won,247367.46,2021-05-06,2021-05-16,SIBG,LATAM
OPP-b303f438,Johnson-Greer,CMP-101,Closed Lost,214058.34,2021-05-10,2021-05-17,SIBG,LATAM
OPP-90e0b95f,"Osborne, Beltran and Lozano",CMP-101,Closed Lost,180847.42,2021-05-07,2021-05-17,SIBG,LATAM
OPP-e776b886,Parsons-Hall,CMP-101,Closed Won,203589.59,2021-05-09,2021-05-19,SIBG,LATAM
OPP-a2f963a3,Oliver Ltd,CMP-101,Closed Won,203971.79,2021-05-13,2021-05-22,SIBG,LATAM
OPP-a8c01f05,"Massey, Fuller and Berger",CMP-101,Closed Lost,207445.47,2021-05-13,2021-05-24,SIBG,LATAM
OPP-c9e26074,Johnson-Diaz,CMP-101,Closed Won,173820.36,2021-05-09,2021-05-21,SIBG,LATAM
OPP-4b8c5bdc,Burgess-Thompson,CMP-101,Closed Won,225646.96,2021-05-08,2021-05-15,SIBG,LATAM
OPP-e05fb8bc,Schmidt-Mcintyre,CMP-101,Closed Won,208123.37,2021-05-11,2021-05-24,SIBG,LATAM
OPP-e9ff1cae,Coffey-Phillips,CMP-101,Closed Won,236348.12,2021-05-09,2021-05-18,SIBG,LATAM
OPP-1d7bc313,Mccarty-Taylor,CMP-101,Closed Won,200228.1,2021-05-11,2021-05-21,SIBG,LATAM
OPP-ad238d36,"Craig, Sanders and Singleton",CMP-101,Closed Won,196731.09,2021-05-13,2021-05-25,SIBG,LATAM
OPP-ca6a2224,Smith-Herrera,CMP-101,Closed Won,186006.2,2021-05-09,2021-05-22,SIBG,LATAM
OPP-bfbf397b,"Baker, James and Little",CMP-101,Closed Lost,206025.07,2021-05-15,2021-05-22,SIBG,LATAM
OPP-3bdbc09e,Johnson-Henson,CMP-101,Closed Lost,210986.04,2021-05-12,2021-05-19,SIBG,LATAM
OPP-9c2e58de,Holland Ltd,CMP-101,Closed Won,190261.67,2021-05-13,2021-05-21,SIBG,LATAM
OPP-b379cb1e,Banks-Wilson,CMP-101,Closed Lost,199308.12,2021-05-16,2021-05-28,SIBG,LATAM
OPP-4dead645,Wilson-Young,CMP-101,Closed Won,200093.32,2021-05-14,2021-05-27,SIBG,LATAM
OPP-7421ff46,Santiago-Paul,CMP-101,Closed Won,221733.25,2021-05-14,2021-05-27,SIBG,LATAM
OPP-965befdf,"Barber, Mcclure and Pena",CMP-101,Closed Lost,215887.58,2021-05-16,2021-05-29,SIBG,LATAM
OPP-687a4850,Johnson-Wood,CMP-101,Closed Won,181014.73,2021-05-13,2021-05-21,SIBG,LATAM
OPP-3c71e0be,Garcia-Jennings,CMP-101,Closed Won,174914.25,2021-05-14,2021-05-21,SIBG,LATAM
OPP-a5135ea0,Brown-Hill,CMP-101,Closed Won,171919.56,2021-05-13,2021-05-22,SIBG,LATAM
OPP-d918b3e5,Davis-Lewis,CMP-101,Closed Won,221986.91,2021-05-17,2021-05-31,SIBG,LATAM
OPP-0577aea9,Buchanan and Sons,CMP-101,Closed Lost,215641.69,2021-05-17,2021-05-29,SIBG,LATAM
OPP-90882eaf,Jones PLC,CMP-101,Closed Won,206759.7,2021-05-12,2021-05-25,SIBG,LATAM
OPP-d0243d72,Murphy and Sons,CMP-101,Closed Won,234133.55,2021-05-18,2021-05-26,SIBG,LATAM
OPP-00b9d4a3,Garrison-Thomas,CMP-101,Closed Won,195534.34,2021-05-13,2021-05-26,SIBG,LATAM
OPP-cc6b66e5,Rodriguez Inc,CMP-101,Closed Won,201029.68,2021-05-16,2021-05-29,SIBG,LATAM
OPP-ca3c6f5f,Chapman Inc,CMP-101,Closed Won,220750.52,2021-05-16,2021-05-24,SIBG,LATAM
OPP-20733f6d,"Fisher, Wilson and Brown",CMP-101,Closed Won,202501.36,2021-05-16,2021-05-27,SIBG,LATAM
OPP-83639007,"Rodriguez, Gordon and Dougherty",CMP-101,Closed Won,270801.58,2021-05-18,2021-05-30,SIBG,LATAM
OPP-e8a3f341,"Boyd, Ellis and Maynard",CMP-101,Negotiation,212943.27,2021-05-14,,SIBG,LATAM
OPP-d8e88ebb,Simmons-Rodriguez,CMP-101,Closed Won,232196.68,2021-05-19,2021-05-28,SIBG,LATAM
OPP-12d0498d,Morris and Sons,CMP-101,Negotiation,234335.71,2021-05-13,,SIBG,LATAM
OPP-9fd34579,"Richards, Joseph and James",CMP-101,Closed Won,200393.11,2021-05-18,2021-05-28,SIBG,LATAM
OPP-7426b193,"Jacobs, Garcia and Miles",CMP-101,Closed Lost,176345.14,2021-05-20,2021-06-01,SIBG,LATAM
OPP-e0b15aba,"Le, Lewis and Hayes",CMP-101,Closed Won,216393.73,2021-05-16,2021-05-25,SIBG,LATAM
OPP-d3d1bf0f,Ross-Blair,CMP-101,Closed Won,221384.36,2021-05-15,2021-05-23,SIBG,LATAM
OPP-aa448259,Brooks-Hernandez,CMP-101,Closed Lost,194487.78,2021-05-15,2021-05-26,SIBG,LATAM
OPP-175a81ec,Davis Inc,CMP-101,Closed Lost,194868.21,2021-05-15,2021-05-24,SIBG,LATAM
OPP-cfd01cbd,Hawkins PLC,CMP-101,Closed Won,257239.59,2021-05-19,2021-05-28,SIBG,LATAM
OPP-5463adc7,"Martinez, Gomez and Ortega",CMP-101,Closed Lost,188329.89,2021-05-21,2021-05-29,SIBG,LATAM
