DATE,CAMPAIGN_ID,CHANNEL,SPEND_AMT,IMPRESSIONS,CLICKS,VIDEO_VIEWS_50
2021-04-01,CMP-103,Google Ads,111474.36,4458974,130681,0
2021-04-02,CMP-103,Google Ads,149750.51,5990020,145497,0
2021-04-03,CMP-103,Google Ads,141798.02,5671920,156235,0
2021-04-04,CMP-103,Google Ads,93898.43,3755937,109018,0
2021-04-05,CMP-103,Google Ads,123635.02,4945400,139779,0
2021-04-06,CMP-103,Google Ads,109939.65,4397585,127333,0
2021-04-07,CMP-103,Google Ads,115053.31,4602132,92541,0
2021-04-08,CMP-103,Google Ads,153223.79,6128951,128173,0
2021-04-09,CMP-103,Google Ads,109885.23,4395409,129667,0
2021-04-10,CMP-103,Google Ads,156568.1,6262724,161167,0
2021-04-11,CMP-103,Google Ads,132995.71,5319828,130253,0
2021-04-12,CMP-103,Google Ads,107954.97,4318198,100556,0
2021-04-13,CMP-103,Google Ads,136004.01,5440160,149733,0
2021-04-14,CMP-103,Google Ads,144808.29,5792331,161583,0
2021-04-15,CMP-103,Google Ads,93017.14,3720685,92809,0
2021-04-16,CMP-103,Google Ads,90528.98,3621159,92322,0
2021-04-17,CMP-103,Google Ads,118922.92,4756916,137365,0
2021-04-18,CMP-103,Google Ads,112222.08,4488883,95032,0
2021-04-19,CMP-103,Google Ads,96846.58,3873863,106977,0
2021-04-20,CMP-103,Google Ads,131988.6,5279544,110929,0
2021-04-21,CMP-103,Google Ads,92492.16,3699686,99927,0
2021-04-22,CMP-103,Google Ads,91653.31,3666132,103453,0
2021-04-23,CMP-103,Google Ads,138497.81,5539912,115304,0
2021-04-24,CMP-103,Google Ads,92546.21,3701848,110560,0
2021-04-25,CMP-103,Google Ads,113949.2,4557967,108053,0
2021-04-26,CMP-103,Google Ads,146377.51,5855100,172564,0
2021-04-27,CMP-103,Google Ads,159185.41,6367416,175319,0
2021-04-28,CMP-103,Google Ads,114096.26,4563850,95087,0
2021-04-29,CMP-103,Google Ads,143741.07,5749642,147099,0
2021-04-30,CMP-103,Google Ads,117642.99,4705719,136764,0
2021-05-01,CMP-103,Google Ads,94495.46,3779818,94216,0
2021-05-02,CMP-103,Google Ads,87112.21,3484488,86020,0
2021-05-03,CMP-103,Google Ads,90436.14,3617445,76647,0
2021-05-04,CMP-103,Google Ads,94963.46,3798538,100631,0
2021-05-05,CMP-103,Google Ads,141441.14,5657645,146157,0
2021-05-06,CMP-103,Google Ads,157423.34,6296933,149544,0
2021-05-07,CMP-103,Google Ads,107400.46,4296018,123235,0
2021-05-08,CMP-103,Google Ads,102807.09,4112283,121856,0
2021-05-09,CMP-103,Google Ads,87171.43,3486857,103555,0
2021-05-10,CMP-103,Google Ads,89464.22,3578568,103461,0
2021-05-11,CMP-103,Google Ads,125295.06,5011802,150001,0
2021-05-12,CMP-103,Google Ads,91729.74,3669189,93705,0
2021-05-13,CMP-103,Google Ads,157950.59,6318023,159409,0
2021-05-14,CMP-103,Google Ads,132815.38,5312615,143214,0
2021-05-15,CMP-103,Google Ads,119885.02,4795400,126001,0
2021-05-16,CMP-103,Google Ads,129481.49,5179259,150258,0
2021-05-17,CMP-103,Google Ads,89633.3,3585331,81780,0
2021-05-18,CMP-103,Google Ads,156553.63,6262145,180992,0
2021-05-19,CMP-103,Google Ads,119967.52,4798700,125732,0
2021-05-20,CMP-103,Google Ads,106784.41,4271376,93462,0
2021-05-21,CMP-103,Google Ads,120562.19,4822487,113490,0
2021-05-22,CMP-103,Google Ads,129432.82,5177312,107570,0
2021-05-23,CMP-103,Google Ads,158327.15,6333085,189119,0
2021-05-24,CMP-103,Google Ads,137900.27,5516010,139891,0
2021-05-25,CMP-103,Google Ads,109161.57,4366462,122863,0
2021-05-26,CMP-103,Google Ads,136907.11,5476284,118431,0
2021-05-27,CMP-103,Google Ads,153633.85,6145353,173454,0
2021-05-28,CMP-103,Google Ads,156508.41,6260336,170639,0
2021-05-29,CMP-103,Google Ads,131633.44,5265337,127328,0
2021-05-30,CMP-103,Google Ads,155246.01,6209840,177977,0
2021-05-31,CMP-103,Google Ads,89616.46,3584658,72638,0
2021-06-01,CMP-103,Google Ads,114111.33,4564453,128286,0
2024-10-01,CMP-104,LinkedIn,141340.07,1884534,7821,0
2024-10-02,CMP-104,LinkedIn,166072.9,2214305,10522,0
2024-10-03,CMP-104,LinkedIn,215568.63,2874248,13052,0
2024-10-04,CMP-104,LinkedIn,175495.22,2339936,9040,0
2024-10-05,CMP-104,LinkedIn,154538.5,2060513,6779,0
2024-10-06,CMP-104,LinkedIn,217994.27,2906590,13081,0
2024-10-07,CMP-104,LinkedIn,232481.01,3099746,14862,0
2024-10-08,CMP-104,LinkedIn,184803.39,2464045,10916,0
2024-10-09,CMP-104,LinkedIn,226583.96,3021119,13774,0
2024-10-10,CMP-104,LinkedIn,151742.04,2023227,7932,0
2024-10-11,CMP-104,LinkedIn,139058.87,1854118,8763,0
2024-10-12,CMP-104,LinkedIn,190248.76,2536650,9045,0
2024-10-13,CMP-104,LinkedIn,197280.55,2630407,11018,0
2024-10-14,CMP-104,LinkedIn,163633.88,2181785,7378,0
2024-10-15,CMP-104,LinkedIn,197266.87,2630224,10606,0
2024-10-16,CMP-104,LinkedIn,208078.13,2774375,11187,0
2024-10-17,CMP-104,LinkedIn,216648.47,2888646,11794,0
2024-10-18,CMP-104,LinkedIn,185394.28,2471923,11377,0
2024-10-19,CMP-104,LinkedIn,168497.32,2246630,7670,0
2024-10-20,CMP-104,LinkedIn,128287.15,1710495,7540,0
2024-10-21,CMP-104,LinkedIn,191765.62,2556874,11062,0
2024-10-22,CMP-104,LinkedIn,148052.2,1974029,6747,0
2024-10-23,CMP-104,LinkedIn,126759.23,1690123,6356,0
2024-10-24,CMP-104,LinkedIn,188504.18,2513389,9620,0
2024-10-25,CMP-104,LinkedIn,172145.1,2295268,10665,0
2024-10-26,CMP-104,LinkedIn,162570.7,2167609,8718,0
2024-10-27,CMP-104,LinkedIn,209294.48,2790593,10700,0
2024-10-28,CMP-104,LinkedIn,191956.33,2559417,11721,0
2024-10-29,CMP-104,LinkedIn,227094.22,3027922,10401,0
2024-10-30,CMP-104,LinkedIn,224633.21,2995109,11942,0
2024-10-31,CMP-104,LinkedIn,152911.35,2038818,8021,0
2024-11-01,CMP-104,LinkedIn,276442.25,3685896,14700,0
2024-11-02,CMP-104,LinkedIn,192573.23,2567643,10818,0
2024-11-03,CMP-104,LinkedIn,181162.95,2415505,8022,0
2024-11-04,CMP-104,LinkedIn,166834.63,2224461,7574,0
2024-11-05,CMP-104,LinkedIn,169799.42,2263992,7747,0
2024-11-06,CMP-104,LinkedIn,232767.04,3103560,10834,0
2024-11-07,CMP-104,LinkedIn,194751.55,2596687,12035,0
2024-11-08,CMP-104,LinkedIn,211272.72,2816969,12023,0
2024-11-09,CMP-104,LinkedIn,172428.65,2299048,8064,0
2024-11-10,CMP-104,LinkedIn,155500.95,2073346,7195,0
2024-11-11,CMP-104,LinkedIn,186113.68,2481515,8643,0
2024-11-12,CMP-104,LinkedIn,161660.79,2155477,7313,0
2024-11-13,CMP-104,LinkedIn,209575.09,2794334,9864,0
2024-11-14,CMP-104,LinkedIn,197147.11,2628628,10528,0
2024-11-15,CMP-104,LinkedIn,239144.01,3188586,10404,0
2024-11-16,CMP-104,LinkedIn,253182.54,3375767,14193,0
2024-11-17,CMP-104,LinkedIn,160766.64,2143555,9855,0
2024-11-18,CMP-104,LinkedIn,268823.87,3584318,11820,0
2024-11-19,CMP-104,LinkedIn,185893.13,2478575,11128,0
2024-11-20,CMP-104,LinkedIn,246595.59,3287941,11492,0
2024-11-21,CMP-104,LinkedIn,177197.14,2362628,8960,0
2022-02-14,CMP-105,LinkedIn,100160.81,1335477,5061,0
2022-02-15,CMP-105,LinkedIn,91422.58,1218967,5358,0
2022-02-16,CMP-105,LinkedIn,67525.94,900345,3244,0
2022-02-17,CMP-105,LinkedIn,105497.05,1406627,6515,0
2022-02-18,CMP-105,LinkedIn,94180.23,1255736,5087,0
2022-02-19,CMP-105,LinkedIn,71481.42,953085,3732,0
2022-02-20,CMP-105,LinkedIn,95355.26,1271403,4561,0
2022-02-21,CMP-105,LinkedIn,80576.04,1074347,4086,0
2022-02-22,CMP-105,LinkedIn,66593.76,887916,3298,0
2022-02-23,CMP-105,LinkedIn,77332.86,1031104,3839,0
2022-02-24,CMP-105,LinkedIn,72187.91,962505,4451,0
2022-02-25,CMP-105,LinkedIn,98776.89,1317025,5645,0
2022-02-26,CMP-105,LinkedIn,109751.78,1463357,5849,0
2022-02-27,CMP-105,LinkedIn,70344.99,937933,3807,0
2022-02-28,CMP-105,LinkedIn,98398.03,1311973,5763,0
2022-03-01,CMP-105,LinkedIn,89690.03,1195867,4070,0
2022-03-02,CMP-105,LinkedIn,81391.54,1085220,4103,0
2022-03-03,CMP-105,LinkedIn,101713.09,1356174,5578,0
2022-03-04,CMP-105,LinkedIn,85449.82,1139330,5444,0
2022-03-05,CMP-105,LinkedIn,99460.5,1326139,4746,0
2022-03-06,CMP-105,LinkedIn,71178.98,949053,3269,0
2022-03-07,CMP-105,LinkedIn,79269.37,1056924,3653,0
2022-03-08,CMP-105,LinkedIn,75936.67,1012488,3701,0
2022-03-09,CMP-105,LinkedIn,75196.32,1002617,4646,0
2022-03-10,CMP-105,LinkedIn,69969.78,932930,3768,0
2022-03-11,CMP-105,LinkedIn,88496.87,1179958,5630,0
2022-03-12,CMP-105,LinkedIn,71754.52,956726,3670,0
2022-03-13,CMP-105,LinkedIn,119869.27,1598256,7327,0
2022-03-14,CMP-105,LinkedIn,111317.44,1484232,5362,0
2022-03-15,CMP-105,LinkedIn,75056.82,1000757,4273,0
2022-03-16,CMP-105,LinkedIn,117619.37,1568258,6415,0
2022-03-17,CMP-105,LinkedIn,97543.49,1300579,4744,0
2022-03-18,CMP-105,LinkedIn,108647.54,1448633,5069,0
2022-03-19,CMP-105,LinkedIn,83630.71,1115076,4327,0
2022-03-20,CMP-105,LinkedIn,93952.0,1252693,4494,0
2023-09-16,CMP-106,LinkedIn,74896.34,998617,3656,0
2023-09-17,CMP-106,LinkedIn,73658.17,982108,3385,0
2023-09-18,CMP-106,LinkedIn,69439.95,925865,3751,0
2023-09-19,CMP-106,LinkedIn,51348.19,684642,2559,0
2023-09-20,CMP-106,LinkedIn,54828.65,731048,2413,0
2023-09-21,CMP-106,LinkedIn,90882.05,1211760,4502,0
2023-09-22,CMP-106,LinkedIn,83293.09,1110574,4006,0
2023-09-23,CMP-106,LinkedIn,77883.4,1038445,4586,0
2023-09-24,CMP-106,LinkedIn,74265.02,990200,3915,0
2023-09-25,CMP-106,LinkedIn,66519.62,886928,3333,0
2023-09-26,CMP-106,LinkedIn,88335.44,1177805,5334,0
2023-09-27,CMP-106,LinkedIn,89831.34,1197751,4071,0
2023-09-28,CMP-106,LinkedIn,79963.67,1066182,5012,0
2023-09-29,CMP-106,LinkedIn,56801.62,757354,2504,0
2023-09-30,CMP-106,LinkedIn,80395.74,1071943,4415,0
2023-10-01,CMP-106,LinkedIn,60456.91,806092,2759,0
2023-10-02,CMP-106,LinkedIn,59055.38,787405,2773,0
2023-10-03,CMP-106,LinkedIn,40043.5,533913,1848,0
2023-10-04,CMP-106,LinkedIn,59636.54,795153,3390,0
2023-10-05,CMP-106,LinkedIn,50861.94,678159,2559,0
2023-10-06,CMP-106,LinkedIn,61521.62,820288,3139,0
2023-10-07,CMP-106,LinkedIn,59697.49,795966,3106,0
2023-10-08,CMP-106,LinkedIn,46463.61,619514,2441,0
2023-10-09,CMP-106,LinkedIn,44189.01,589186,2590,0
2023-10-10,CMP-106,LinkedIn,50249.54,669993,2392,0
2023-10-11,CMP-106,LinkedIn,62195.09,829267,3163,0
2023-10-12,CMP-106,LinkedIn,51478.62,686381,3191,0
2023-10-13,CMP-106,LinkedIn,53907.29,718763,2434,0
2023-10-14,CMP-106,LinkedIn,63406.87,845424,3554,0
2023-10-15,CMP-106,LinkedIn,45198.22,602642,2062,0
2023-10-16,CMP-106,LinkedIn,59017.99,786906,3298,0
2023-10-17,CMP-106,LinkedIn,51174.86,682331,3159,0
2023-10-18,CMP-106,LinkedIn,58854.6,784728,2701,0
2023-10-19,CMP-106,LinkedIn,44500.38,593338,2134,0
2023-10-20,CMP-106,LinkedIn,57510.59,766807,2494,0
2023-10-21,CMP-106,LinkedIn,52271.38,696951,3080,0
2023-10-22,CMP-106,LinkedIn,61508.53,820113,3073,0
2023-10-23,CMP-106,LinkedIn,59837.69,797835,2694,0
2023-10-24,CMP-106,LinkedIn,60596.08,807947,2750,0
2023-10-25,CMP-106,LinkedIn,47075.94,627679,2809,0
2023-10-26,CMP-106,LinkedIn,39629.96,528399,1884,0
2023-10-27,CMP-106,LinkedIn,56857.59,758101,3299,0
2023-10-28,CMP-106,LinkedIn,54416.28,725550,3127,0
2023-10-29,CMP-106,LinkedIn,51453.69,686049,2471,0
2022-07-17,CMP-107,YouTube,85347.21,4741511,27580,711226
2022-07-18,CMP-107,YouTube,110781.39,6154521,29552,923178
2022-07-19,CMP-107,YouTube,103097.47,5727637,33761,859145
2022-07-20,CMP-107,YouTube,83559.18,4642176,24011,696326
2022-07-21,CMP-107,YouTube,105875.33,5881962,30720,882294
2022-07-22,CMP-107,YouTube,74998.2,4166566,23933,624984
2022-07-23,CMP-107,YouTube,132856.32,7380906,37866,1107135
2022-07-24,CMP-107,YouTube,117950.87,6552825,38301,982923
2022-07-25,CMP-107,YouTube,118621.09,6590060,28370,988509
2022-07-26,CMP-107,YouTube,110331.74,6129540,31955,919431
2022-07-27,CMP-107,YouTube,100699.92,5594440,30617,839166
2022-07-28,CMP-107,YouTube,132998.67,7388814,43232,1108322
2022-07-29,CMP-107,YouTube,102390.62,5688367,24041,853255
2022-07-30,CMP-107,YouTube,136193.76,7566320,42960,1134948
2022-07-31,CMP-107,YouTube,81743.14,4541285,26528,681192
2022-08-01,CMP-107,YouTube,128917.58,7162087,36080,1074313
2022-08-02,CMP-107,YouTube,111280.44,6182246,29662,927336
2022-08-03,CMP-107,YouTube,77318.29,4295460,20061,644319
2022-08-04,CMP-107,YouTube,124673.66,6926314,27769,1038947
2022-08-05,CMP-107,YouTube,94962.81,5275711,25304,791356
2022-08-06,CMP-107,YouTube,107869.77,5992764,34996,898914
2022-08-07,CMP-107,YouTube,95776.03,5320890,24975,798133
